CONTAINER ID,NAME,CPU %,MEM USAGE (B),MEM LIMIT (B),MEM %,NETWORK IN (kB),NETWORK OUT (kB),BLOCK IN (kB),BLOCK OUT (kB),PIDS
3c8ef68fae4f,sfe_drone,107.19%,97.14MiB,1.938GiB,4.89%,45.6MB,46.1MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,77.81%,95.19MiB,1.938GiB,4.80%,46.1MB,45.6MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,38.76%,97.17MiB,1.938GiB,4.90%,45.6MB,46.1MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,99.94%,95.19MiB,1.938GiB,4.80%,46.1MB,45.6MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,38.76%,97.17MiB,1.938GiB,4.90%,45.6MB,46.1MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,99.94%,95.19MiB,1.938GiB,4.80%,46.1MB,45.6MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,73.25%,106.5MiB,1.938GiB,5.37%,45.7MB,46.2MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,106.29%,104.6MiB,1.938GiB,5.27%,46.2MB,45.7MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,73.25%,106.5MiB,1.938GiB,5.37%,45.7MB,46.2MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,106.29%,104.6MiB,1.938GiB,5.27%,46.2MB,45.7MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,73.05%,115.7MiB,1.938GiB,5.83%,45.8MB,46.3MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,108.89%,113.8MiB,1.938GiB,5.74%,46.3MB,45.8MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,73.05%,115.7MiB,1.938GiB,5.83%,45.8MB,46.3MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,108.89%,113.8MiB,1.938GiB,5.74%,46.3MB,45.8MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,106.23%,125.1MiB,1.938GiB,6.30%,45.9MB,46.4MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,99.89%,123.2MiB,1.938GiB,6.21%,46.4MB,45.9MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,106.23%,125.1MiB,1.938GiB,6.30%,45.9MB,46.4MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,99.89%,123.2MiB,1.938GiB,6.21%,46.4MB,45.9MB,0B,2.56MB,6
3c8ef68fae4f,sfe_drone,31.39%,125.4MiB,1.938GiB,6.32%,45.9MB,46.4MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,100.30%,123.4MiB,1.938GiB,6.22%,46.4MB,45.9MB,0B,2.57MB,12
3c8ef68fae4f,sfe_drone,31.39%,125.4MiB,1.938GiB,6.32%,45.9MB,46.4MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,100.30%,123.4MiB,1.938GiB,6.22%,46.4MB,45.9MB,0B,2.57MB,12
3c8ef68fae4f,sfe_drone,106.51%,134.7MiB,1.938GiB,6.79%,46MB,46.5MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,90.70%,135MiB,1.938GiB,6.80%,46.5MB,46MB,0B,2.57MB,12
3c8ef68fae4f,sfe_drone,106.51%,134.7MiB,1.938GiB,6.79%,46MB,46.5MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,90.70%,135MiB,1.938GiB,6.80%,46.5MB,46MB,0B,2.57MB,12
3c8ef68fae4f,sfe_drone,91.09%,144MiB,1.938GiB,7.25%,46.1MB,46.6MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,116.23%,146.7MiB,1.938GiB,7.39%,46.6MB,46.1MB,0B,2.57MB,12
3c8ef68fae4f,sfe_drone,91.09%,144MiB,1.938GiB,7.25%,46.1MB,46.6MB,0B,2.38MB,11
4792b602a5f2,sfe_laptop,116.23%,146.7MiB,1.938GiB,7.39%,46.6MB,46.1MB,0B,2.57MB,12
3c8ef68fae4f,sfe_drone,100.19%,152.9MiB,1.938GiB,7.70%,46.1MB,46.7MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,72.44%,155.9MiB,1.938GiB,7.85%,46.7MB,46.1MB,0B,2.57MB,8
3c8ef68fae4f,sfe_drone,100.19%,152.9MiB,1.938GiB,7.70%,46.1MB,46.7MB,0B,2.38MB,5
4792b602a5f2,sfe_laptop,72.44%,155.9MiB,1.938GiB,7.85%,46.7MB,46.1MB,0B,2.57MB,8
3c8ef68fae4f,sfe_drone,97.35%,167MiB,1.938GiB,8.42%,46.2MB,46.8MB,0B,2.38MB,7
4792b602a5f2,sfe_laptop,59.89%,165.1MiB,1.938GiB,8.32%,46.8MB,46.2MB,0B,2.57MB,6
